No.	英単語	意味	処理用	例文1	例文1（日本語）
853	declare	〜を宣言する，〜と明言する(+that)			
853.1	declaration	宣言，明言			
854	alter	〜を変える，変わる			
854.1	alteration	変更，改変			
855	arise	生じる			
856	transform	変える，〜を変形する			
856.1	transform A into B	AをBに変える			
856.2	transformation	変形，変化			
857	defeat	〜を打ち負かす，敗北，失敗			
858	investigate	〜を調査する			
858.1	investigation	調査，捜査			
859	distinguish	〜を見分ける，〜を区別する			
859.1	distinguish A from B	AとBを区別する(=distinguish between A and B)			
859.2	distinction	区別			
859.3	distinct	はっきりした，全く異なる			
859.4	distinctive	独特の			
859.5	distinguished	著名な			
860	bury	〜を埋める，〜を埋葬する			
860.1	\textit{be} buried	埋葬される，埋まっている			
860.2	burial	埋葬			
861	cope	うまく対処する			
862	occur	起こる			
862.1	occur to A	（考えなどが）Aに浮かぶ			
862.2	naturally occurring	天然に存在する，人工物でない			
862.3	occurrence	出来事，起こること			
863	accomplish	〜をやり遂げる(=achieve, attain)			
863.1	accomplishment	完遂，達成，業績			
863.2	accomplished	熟練した，できあがった			
864	hesitate	ためらう，Vすることをためらう(+to V)			
864.1	hesitation	ためらい			
864.2	hesitant	ためらっている			
865	endure	〜に耐える，持続する(=stand, bear, put up with)			
865.1	endurance	忍耐，耐久力			
865.2	enduring	長続きする			
865.3	durable	耐久性のある			
866	conclude	〜と結論づける，〜をしめくくる			
866.1	conclusion	結論			
867	guarantee	〜を保証する，〜を請け負う，保証			
868	dominate	〜を支配する			
868.1	dominant	優位の，支配的な			
869	confirm	〜を裏付ける，〜を確認する			
870	greet	〜にあいさつする，〜を迎える			
870.1	greeting	あいさつ			
871	entertain	〜を楽しませる，〜をもてなす，（考え）を持つ			
871.1	entertainment	娯楽，尾行，催し物			
871.2	pastime	気晴らし，娯楽，趣味(=hobby)			
872	defend	〜を守る，〜を弁護する			
872.1	defense	防衛，弁護			
873	forbid	〜を禁じる			
873.1	forbid A to V	AがVするのを禁じる			
874	broadcast	〜を放送する，放送，番組			
875	sacrifice	〜を犠牲にする，犠牲，いけにえ			
876	punish	〜を罰する			
876.1	punish A for B	AをBのことで罰する			
876.2	punishment	罰すること，処罰			
877	glance	ちらりと見る，Aをちらりと見る(+at A)，ちらりと見ること			
877.1	at fist glance	一見したところでは			
878	retain	〜を保持する，〜を保つ(=keep)			
879	calculate	〜を計算する，〜と推定する(+that)			
879.1	calculation	計算			
880	sink	沈む，〜を沈める，（台所の）流し			
881	rescue	〜を救助する，救助			
882	beg	AにVしてと乞う(+A to V)，請い求める(+for)			
882.1	beggar	乞食			
883	define	AをBと定義する(+A as B)			
883.1	definition	定義			
883.2	definite	明確な，限定された			
883.3	defining	典型的な			
884	deceive	〜をだます			
884.1	deception	だますこと			
884.2	deceit	詐欺，ぺてん			
885	convey	〜を伝える			
886	sustain	〜を維持する			
886.1	sustainable	地球に優しい，持続可能な			
887	purchase	〜を購入する，購入（品）			
888	fade	薄れる，色あせる，弱まる(+away)			
889	regulate	〜を規制する，〜を調整する			
889.1	regulation	規制，規則			
890	distribute	〜を分配する，〜を配布する			
890.1	distribution	分配，分布			
891	enhance	〜を向上させる，（能力・価値）を高める			
892	chat	おしゃべりする，おしゃべり			
892.1	have a chat	おしゃべりする			
892.2	chatter	ぺちゃくちゃしゃべる，うるさく鳴く			
893	exceed	～を超える，〜にまさる			
894	wipe	〜を拭く			
894.1	wipe A out	Aを絶滅させる，根絶する			
894.2	wiper	ワイパー，拭く物			
895	cooperate	協力する，〜に協力する(+with)			
895.1	cooperation	協力			
895.2	cooperative	協力的な			
896	inherit	〜を受け継ぐ			
896.1	inheritance	継承，遺伝，遺産			
897	unite	〜を団結させる			
897.1	the United Nations	国際連合，国連			
897.2	unity	統一（体），単一（体）			
897.3	unify	〜を1つにする，統合する			
898	leap	跳ぶ，跳ぶこと，跳躍			
899	exaggerate	〜を誇張する，〜を強調しすぎる			
899.1	exaggeration	誇張，大げさな表現			
900	conquer	〜を征服する			
900.1	conquest	制服			
901	melt	融ける，（固体）を融かす			
902	invade	〜に侵入する，〜を侵略する			
902.1	invasion	侵入，侵略			
902.2	invasive	侵入する			
902.3	invasive species	侵入種，外来種			
903	modify	〜を修正する，〜を変更する			
903.1	modification	修正，変更			
904	scatter	〜をばらまく，〜をまき散らす			
904.1	scattered	点在する，散在する，散らばった			
905	undergo	〜を経験する(=experience)，（苦難）を受ける			
906	evaluate	〜を評価する，〜を見積もる			
906.1	evaluation	評価			
907	bend	身をかがめる，曲がる，〜を曲げる			
908	derive	由来する，（利益など）を引き出す			
908.1	\textit{be} derived from A	Aに由来する，Aから得られる			
908.2	derive A from B	BからAを引き出す			
909	scream	悲鳴を上げる，悲鳴，金切り声			
910	gaze	見つめる，〜を見つめる(+at)，視線，凝視			
911	pray	祈る			
911.1	prayer	祈り（の言葉）			
912	polish	〜を磨く			
913	classify	分類する			
913.1	classification	分類			
914	assert	〜と主張する(+that)，断言する			
914.1	assert oneself	自己主張する			
914.2	assertion	主張			
914.3	assertive	自己主張をする，自分の意見を言う			
915	grab	〜をつかむ，（注意など）を引きつける			
916	fold	折りたたむ，（腕など）を組む			
916.1	unfold	進展する，（〜を）展開する			
917	sweep	〜を掃く，〜を一掃する，（〜で）急速に広まる			
918	whisper	ささやく，ささやき			
919	imitate	〜をまねる，模造する			
919.1	mimic	〜をまねる，物まねをする			
919.2	imitation	まね，模造品			
920	stare	じっと見る，〜をじっと見る(+at)			
921	emphasize	〜を強調する			
921.1	emphasis	強調			
921.2	put emphasis on A	Aを強調する			
922	rid	〜を取り除く，〜を脱する			
922.1	rid A of B	AからBを取り除く			
923	pour	〜を注ぐ			
924	vanish	消える			
925	restore	〜を修復する，〜を回復する			
926	deserve	当然だ，〜を受けるに値する			
927	laboratory	研究所			
928	conference	会議，〜に関する会議(+on)			
928.1	press conference	記者会見			
928.2	chairman	議長			
929	continent	大陸			
929.1	continental	大陸の			
930	insurance	保険			
930.1	insure	〜に保険をかける，〜を確実にする(=ensure)			
931	crew	乗組員たち，（作業の）チーム			
932	poverty	貧乏			
933	shortage	不足			
933.1	\textit{be} short of A	Aが不足している			
933.2	run short of A	Aが不足する			
934	affair	情勢			
934.1	love affair	恋愛，情事			
934.2	the state of affairs	情勢，事態			
935	exception	例外			
935.1	with the exception of A	Aという例外を除き			
935.1	exceptional	特に優れた，例外的な			
936	wage	賃金			
937	wisdom	知恵			
937.1	conventional wisdom	世間一般の通念			
937.2	wise	賢い，賢明な			
938	tax	税金			
939	evolution	進化			
939.1	the theory of evolution	進化論			
939.2	natural selection	自然淘汰			
939.3	evolve	進化する			
940	barrier	壁			
941	category	範ちゅう，カテゴリー，分類(=group)			
942	unit	単位			
943	reputation	評判，名声			
944	virtue	美徳			
944.1	by virtue of A	Aの理由で			
944.2	virtuous	有徳の，高潔な			
945	courage	勇気			
945.1	encourage	（人を）はげます，（〜を）促進する			
945.2	courageous	勇敢な			
946	sympathy	同情，共感			
946.1	sympathetic	同情に満ちた，共感する			
946.2	sympathize	同情する，賛同する(=agree)			
947	union	組合，同盟，連邦			
948	civilization	文明			
948.1	civilized	文明化した			
949	volume	冊，本，量，容積			
950	blossom	花，開花する，盛りになる(=bloom)			
951	era	時代			
952	dispute	紛争，論争，〜を議論する			
953	tourism	観光			
953.1	ecotourism	エコツーリズム（環境保護に配慮した観光）			
954	mankind	人類			
955	murder	殺人，（人）を殺す			
956	landscape	風景			
957	destination	目的地，行き先			
957.1	tourist destination	観光地			
958	tale	話，物語			
959	reform	改革，〜を改善する			
960	muscle	筋肉			
960.1	muscular	筋肉の，たくましい			
961	prospect	見通し，見込み			
962	corporation	企業，法人			
962.1	corporate	企業の，会社の			
963	colony	植民地，（ある場所に住む生物の）群			
964	quarrel	口論，口論する，言い争う			
965	profession	職業			
965.1	the medical profession	医療従事者			
965.2	professional	専門的な，プロの			
966	aspect	側面，様相			
967	pause	休止，休止する，一休みする			
968	conflict	対立，衝突，紛争，矛盾する(+with)			
969	privilege	特権			
969.1	privileged	特権のある			
970	prosperity	繁栄			
970.1	prosperous	繁栄している			
970.2	prosper	栄える，成功する			
971	genius	天才，天才的才能			
972	seed	種			
972.1	sow	（種）をまく			
973	symptom	症状，兆候，兆し			
974	merit	長所			
975	layer	層			
976	clue	手がかり，ヒント			
977	circumstances	状況，周囲の事情			
977.1	under the circumstances	そういう状況では，現状では			
978	district	地区，地域			
978.1	school district	学区			
979	prison	刑務所			
979.1	prisoner	囚人，捕虜			
979.2	imprison	～を投獄する			
980	companion	仲間，道連れ			
981	executive	経営責任者，幹部，重役			
982	justice	正義			
982.1	justify	～を正当化する			
982.2	justification	正当化			
983	procedure	手続き，手順，処置			
984	ray	光線，放射線			
984.1	X-ray	レントゲン写真，X線			
984.2	ultraviolet rays	紫外線			
985	heaven	天国，(the heavens) = 空			
985.1	heavenly body	天体			
986	luxury	ぜいたく			
986.1	luxurious	豪華な，一流好みの			
987	oxygen	酸素			
987.1	hydrogen	水素			
987.2	nitrogen	窒素			
988	fund	資金，基金，～に資金を出す			
989	theme	主題，テーマ			
990	boundary	境界，範囲，限界			
991	ambition	熱望，野心，野望			
991.1	ambitious	野心的な，熱望している			
992	forecast	予報，予測，～を予報する			
993	psychology	心理学			
993.1	psychologist	心理学者			
